'cos; k ˈ ə z
ann; ˈ æ n
anna; ˈ æ n ə
annabel; ˈ æ n ə b ˌ ɛ l
anne; ˈ æ n
annette; ə n ˈ ɛ t
annex; ˈ æ n ˌ ɛ k s
annex; ˌ æ n ˈ ɛ k s
annexe; ˈ æ n ɪ k s
annexe; ˈ æ n ˌ ɛ k s
annie; ˈ æ n i
anniversary; ˌ æ n ɪ v ˈ ɜː s ə ɹ i
annotated; ˈ æ n ə t ˌ eɪ t ɪ d
annotated; ˈ æ n əʊ t ˌ eɪ t ɪ d
annotation; ˌ æ n ə t ˈ eɪ ʃ ə n
announce; ə n ˈ aʊ n s
announced; ə n ˈ aʊ n s t
announcement; ə n ˈ aʊ n s m ə n t
announcements; ə n ˈ aʊ n s m ə n t s
announcer; ə n ˈ aʊ n s ə
announces; ə n ˈ aʊ n s ɪ z
annoy; ə n ˈ ɔɪ
annoyance; ə n ˈ ɔɪ ə n s
annoyed; ə n ˈ ɔɪ d
annoying; ə n ˈ ɔɪ ɪ ŋ
annoys; ə n ˈ ɔɪ z
annual; ˈ æ n j ʊə l
annually; ˈ æ n j ʊə l i
annul; ə n ˈ ʌ l
anomalous; ə n ˈ ɒ m ə l ə s
anomaly; ə n ˈ ɒ m ə l i
anonymous; ə n ˈ ɒ n ɪ m ə s
another; ə n ˈ ʌ ð ə
answer; ˈ ɑː n s ə
answered; ˈ ɑː n s ə d
answering; ˈ ɑː n s ə ɹ ɪ ŋ
answers; ˈ ɑː n s ə z
ant; ˈ æ n t
antarctica; ˌ æ n t ˈ ɑː k t ɪ k ə
ante; ˈ æ n t i
antenna; æ n t ˈ ɛ n ə
anthony; ˈ æ n θ ə n i
anthropology; ˌ æ n θ ɹ ə p ˈ ɒ l ə d͡ʒ i
anti; ˈ æ n t i
antibiotic; ˌ æ n t ɪ b aɪ ˈ ɒ t ɪ k
antibiotics; ˌ æ n t ɪ b aɪ ˈ ɒ t ɪ k s
antibodies; ˈ æ n t ɪ b ˌ ɒ d i z
antibody; ˈ æ n t ɪ b ˌ ɒ d i
anticedent; ˌ æ n t ɪ s ˈ iː d ə n t
anticipate; æ n t ˈ ɪ s ɪ p ˌ eɪ t
anticipated; æ n t ˈ ɪ s ɪ p ˌ eɪ t ɪ d
anticipation; ˌ æ n t ɪ s ɪ p ˈ eɪ ʃ ə n
antics; ˈ æ n t ɪ k s
antidote; ˈ æ n t ɪ d ˌ əʊ t
antigua; æ n t ˈ iː g ə
antigua; æ n t ˈ iː g w ə
antipodes; æ n t ˈ ɪ p ə d ˌ iː z
antiquated; ˈ æ n t ɪ k w ˌ eɪ t ɪ d
antique; æ n t ˈ iː k
antiques; æ n t ˈ iː k s
antiquity; æ n t ˈ ɪ k w ɪ t i
antivirus; ˌ æ n t ɪ v ˈ aɪ ɹ ə s
antonio; æ n t ˈ əʊ n ɪ əʊ
anus; ˈ eɪ n ə s
anxiety; æ ŋ z ˈ aɪ ə t i
anxious; ˈ æ ŋ ʃ ə s
anxious; ˈ æ ŋ k ʃ ə s
any; ˈ ɛ n i
anybody; ˈ ɛ n ɪ b ˌ ɒ d i
anybody; ˈ ɛ n ɪ b ə d i
anyhow; ˈ ɛ n ɪ h ˌ aʊ
anymore; ˌ ɛ n ɪ m ˈ ɔː
anyone; ˈ ɛ n ɪ w ə n
anyone; ˈ ɛ n ɪ w ˌ ʌ n
anything; ˈ ɛ n ɪ θ ˌ ɪ ŋ
anytime; ˈ ɛ n ɪ t ˌ aɪ m
anyway; ˈ ɛ n ɪ w ˌ eɪ
anyways; ˈ ɛ n ɪ w ˌ eɪ z
anywhere; ˈ ɛ n ɪ w ˌ ɛə
apace; ə p ˈ eɪ s
apache; ə p ˈ æ t͡ʃ i
apart; ə p ˈ ɑː t
apartment; ə p ˈ ɑː t m ə n t
apartments; ə p ˈ ɑː t m ə n t s
ape; ˈ eɪ p
apex; ˈ eɪ p ɛ k s
apollo; ə p ˈ ɒ l əʊ
apologies; ə p ˈ ɒ l ə d͡ʒ i z
apologise; ə p ˈ ɒ l ə d͡ʒ ˌ aɪ z
apologised; ə p ˈ ɒ l ə d͡ʒ ˌ aɪ z d
apologize; ə p ˈ ɒ l ə d͡ʒ ˌ aɪ z
apologized; ə p ˈ ɒ l ə d͡ʒ ˌ aɪ z d
apology; ə p ˈ ɒ l ə d͡ʒ i
apostrophe; ə p ˈ ɒ s t ɹ ə f i
app; ˈ æ p
appalled; ə p ˈ ɔː l d
appalling; ə p ˈ ɔː l ɪ ŋ
apparatus; ˌ æ p ə ɹ ˈ æ t ə s
apparel; ə p ˈ æ ɹ ə l
apparent; ə p ˈ ɛə ɹ ə n t
apparently; ə p ˈ ɛə ɹ ə n t l i
appeal; ə p ˈ iː l
appealing; ə p ˈ iː l ɪ ŋ
appeals; ə p ˈ iː l z
appear; ə p ˈ ɪə
appearance; ə p ˈ ɪə ɹ ə n s
appearances; ə p ˈ ɪə ɹ ə n s ɪ z
appeared; ə p ˈ ɪə d
appearing; ə p ˈ ɪə ɹ ɪ ŋ
appears; ə p ˈ ɪə z
appendices; ə p ˈ ɛ n d ɪ s ˌ iː z
appendix; ə p ˈ ɛ n d ɪ k s
appendixes; ə p ˈ ɛ n d ɪ k s ɪ z
appetite; ˈ æ p ɪ t ˌ aɪ t
applause; ə p l ˈ ɔː z
apple; ˈ æ p ə l
apples; ˈ æ p ə l z
appliance; ə p l ˈ aɪ ə n s
appliances; ə p l ˈ aɪ ə n s ɪ z
applicable; ˈ æ p l ɪ k ə b ə l
applicable; ə p l ˈ ɪ k ə b ə l
applicant; ˈ æ p l ɪ k ə n t
applicants; ˈ æ p l ɪ k ə n t s
application; ˌ æ p l ɪ k ˈ eɪ ʃ ə n
applications; ˌ æ p l ɪ k ˈ eɪ ʃ ə n z
applied; ə p l ˈ aɪ d
applies; ə p l ˈ aɪ z
apply; ə p l ˈ aɪ
applying; ə p l ˈ aɪ ɪ ŋ
appoint; ə p ˈ ɔɪ n t
appointed; ə p ˈ ɔɪ n t ɪ d
appointment; ə p ˈ ɔɪ n t m ə n t
appointments; ə p ˈ ɔɪ n t m ə n t s
appraisal; ə p ɹ ˈ eɪ z ə l
appreciate; ə p ɹ ˈ iː ʃ ɪ ˌ eɪ t
appreciated; ə p ɹ ˈ iː ʃ ɪ ˌ eɪ t ɪ d
appreciation; ə p ɹ ˌ iː ʃ ɪ ˈ eɪ ʃ ə n
approach; ə p ɹ ˈ əʊ t͡ʃ
approached; ə p ɹ ˈ əʊ t͡ʃ t
approaches; ə p ɹ ˈ əʊ t͡ʃ ɪ z
approaching; ə p ɹ ˈ əʊ t͡ʃ ɪ ŋ
appropriate; ə p ɹ ˈ əʊ p ɹ ɪə t
appropriate; ə p ɹ ˈ əʊ p ɹ ɪ ˌ eɪ t
appropriately; ə p ɹ ˈ əʊ p ɹ ɪə t l i
appropriations; ə p ɹ ˌ əʊ p ɹ ɪ ˈ eɪ ʃ ə n z
approval; ə p ɹ ˈ uː v ə l
approve; ə p ɹ ˈ uː v
approved; ə p ɹ ˈ uː v d
approximate; ə p ɹ ˈ ɒ k s ɪ m ˌ eɪ t
approximate; ə p ɹ ˈ ɒ k s ɪ m ɪ t
approximately; ə p ɹ ˈ ɒ k s ɪ m ə t l i
approximation; ə p ɹ ˈ ɒ k s ɪ m ˌ eɪ ʃ ə n
apps; ˈ æ p s
april; ˈ eɪ p ɹ ə l
apron; ˈ eɪ p ɹ ə n
apt; ˈ æ p t
aptly; ˈ æ p t l i
aqua; ˈ æ k w ə
aquarium; ə k w ˈ ɛə ɹ ɪə m
aquatic; ə k w ˈ æ t ɪ k
aquatic; ə k w ˈ ɒ t ɪ k
ar; ˈ ɑː
arab; ˈ æ ɹ ə b
arabia; ə ɹ ˈ eɪ b ɪə
arabic; ˈ æ ɹ ə b ɪ k
arbitrary; ˈ ɑː b ɪ t ɹ ə ɹ i
arbitration; ˌ ɑː b ɪ t ɹ ˈ eɪ ʃ ə n
arbor; ˈ ɑː b ə
arc; ˈ ɑː k
arcade; ɑː k ˈ eɪ d
arch; ˈ ɑː t͡ʃ
archaeological; ˌ ɑː k ɪə l ˈ ɒ d͡ʒ ɪ k ə l
archaeology; ˌ ɑː k ɪ ˈ ɒ l ə d͡ʒ i
archbishop; ɑː t͡ʃ b ˈ ɪ ʃ ə p
archbishop; ˈ ɑː t͡ʃ b ɪ ʃ ə p
archery; ˈ ɑː t͡ʃ ə ɹ i
architect; ˈ ɑː k ɪ t ˌ ɛ k t
architects; ˈ ɑː k ɪ t ˌ ɛ k t s
architectural; ˌ ɑː k ɪ t ˈ ɛ k t͡ʃ ə ɹ ə l
architecture; ˈ ɑː k ɪ t ˌ ɛ k t͡ʃ ə
archive; ˈ ɑː k ˌ aɪ v
archived; ˈ ɑː k ˌ aɪ v d
archives; ˈ ɑː k ˌ aɪ v z
arctic; ˈ ɑː k t ɪ k
are; ə
are; ˈ ɑː
area; ˈ ɛə ɹ ɪə
areas; ˈ ɛə ɹ ɪə z
aren't; ˈ ɑː n t
arena; ə ɹ ˈ iː n ə
argentina; ˌ ɑː d͡ʒ ə n t ˈ iː n ə
argue; ˈ ɑː g j uː
argued; ˈ ɑː g j uː d
argues; ˈ ɑː g j uː z
arguing; ˈ ɑː g j uː ɪ ŋ
argument; ˈ ɑː g j ʊ m ə n t
arguments; ˈ ɑː g j ʊ m ə n t s
argyll; ɑː g ˈ aɪ l
aria; ˈ ɑː ɹ ɪə
arid; ˈ æ ɹ ɪ d
arise; ə ɹ ˈ aɪ z
arisen; ə ɹ ˈ ɪ z ə n
arises; ə ɹ ˈ aɪ z ɪ z
arising; ə ɹ ˈ aɪ z ɪ ŋ
arithmetic; ə ɹ ˈ ɪ θ m ə t ɪ k
arithmetic; ˌ æ ɹ ɪ θ m ˈ ɛ t ɪ k
arizona; ˌ æ ɹ ɪ z ˈ əʊ n ə
ark; ˈ ɑː k
arkansas; ˈ ɑː k ə n s ˌ ɔː
arlington; ˈ ɑː l ɪ ŋ t ə n
arm; ˈ ɑː m
armaggedon; ˌ ɑː m ə g ˈ ɛ d ə n
armed; ˈ ɑː m d
armenia; ɑː m ˈ iː n ɪə
armies; ˈ ɑː m i z
armor; ˈ ɑː m ə
armour; ˈ ɑː m ə
arms; ˈ ɑː m z
armstrong; ˈ ɑː m s t ɹ ˌ ɒ ŋ
army; ˈ ɑː m i
arnold; ˈ ɑː n ə l d
aroma; ə ɹ ˈ əʊ m ə
arose; ə ɹ ˈ əʊ z
around; ə ɹ ˈ aʊ n d
arouse; ə ɹ ˈ aʊ z
aroused; ə ɹ ˈ aʊ z d
arouses; ə ɹ ˈ aʊ z i z
arrange; ə ɹ ˈ eɪ n d͡ʒ
arranged; ə ɹ ˈ eɪ n d͡ʒ d
arrangement; ə ɹ ˈ eɪ n d͡ʒ m ə n t
arrangements; ə ɹ ˈ eɪ n d͡ʒ m ə n t s
array; ə ɹ ˈ eɪ
arrest; ə ɹ ˈ ɛ s t
arrested; ə ɹ ˈ ɛ s t ɪ d
arrival; ə ɹ ˈ aɪ v ə l
arrivals; ə ɹ ˈ aɪ v ə l z
arrive; ə ɹ ˈ aɪ v
arrived; ə ɹ ˈ aɪ v d
arrives; ə ɹ ˈ aɪ v z
arriving; ə ɹ ˈ aɪ v ɪ ŋ
arrow; ˈ æ ɹ əʊ
ars; ˈ ɑː z
arse; ˈ ɑː s
arsehole; ˈ ɑː s h ˌ əʊ l
arsenal; ˈ ɑː s ə n ə l
arsenic; ˈ ɑː s n ɪ k
arsenic; ˈ ɑː s ə n ɪ k
arson; ˈ ɑː s ə n
art; ˈ ɑː t
artery; ˈ ɑː t ə ɹ i
arthritis; ɑː θ ɹ ˈ aɪ t ɪ s
arthur; ˈ ɑː θ ə
article; ˈ ɑː t ɪ k ə l
articles; ˈ ɑː t ɪ k ə l z
articulate; ɑː t ˈ ɪ k j ʊ l ɪ t
articulate; ɑː t ˈ ɪ k j ʊ l ˌ eɪ t
artifact; ˈ ɑː t ɪ f ˌ æ k t
artificial; ˌ ɑː t ɪ f ˈ ɪ ʃ ə l
artist; ˈ ɑː t ɪ s t
artistic; ˌ ɑː t ˈ ɪ s t ɪ k
artists; ˈ ɑː t ɪ s t s
arts; ˈ ɑː t s
artwork; ˈ ɑː t w ˌ ɜː k
arty; ˈ ɑː t i
aruba; ə ɹ ˈ uː b ə
as; ˈ æ z
as; ə z
asbestos; æ s b ˈ ɛ s t ɒ s
asbestos; æ s b ˈ ɛ s t ə s
ascertain; ˌ æ s ə t ˈ eɪ n
ascii; ˈ æ s k i
asda; ˈ æ s d ə
ash; ˈ æ ʃ
ashamed; ə ʃ ˈ eɪ m d
ashes; ˈ æ ʃ ɪ z
ashley; ˈ æ ʃ l i
ashore; ə ʃ ˈ ɔː
ashtray; ˈ æ ʃ t ɹ ˌ eɪ
asia; ˈ eɪ ʃ ə
asia; ˈ eɪ ʒ ə
asian; ˈ eɪ ʃ ə n
asian; ˈ eɪ ʒ ə n
aside; ə s ˈ aɪ d
ask; ˈ ɑː s k
asked; ˈ ɑː s k t
asking; ˈ ɑː s k ɪ ŋ
asks; ˈ ɑː s k s
aslackby; ˈ eɪ z ə l b i
asleep; ə s l ˈ iː p
aspect; ˈ æ s p ˌ ɛ k t
aspects; ˈ æ s p ˌ ɛ k t s
asphalt; ˈ æ s f æ l t
aspiration; ˌ æ s p ɪ ɹ ˈ eɪ ʃ ə n
aspirations; ˌ æ s p ɪ ɹ ˈ eɪ ʃ ə n z
aspire; ə s p ˈ aɪ ə
ass; ˈ ɑː s
assailant; ə s ˈ eɪ l ə n t
assault; ə s ˈ ɔː l t
assemble; ə s ˈ ɛ m b ə l
assembled; ə s ˈ ɛ m b ə l d
assembly; ə s ˈ ɛ m b l i
assert; ə s ˈ ɜː t
assertion; ə s ˈ ɜː ʃ ə n
assertive; ə s ˈ ɜː t ɪ v
asses; ˈ ɑː s ɪ z
assess; ə s ˈ ɛ s
assessed; ə s ˈ ɛ s t
assessing; ə s ˈ ɛ s ɪ ŋ
assessment; ə s ˈ ɛ s m ə n t
assessments; ə s ˈ ɛ s m ə n t s
asset; ˈ æ s ˌ ɛ t
assets; ˈ æ s ˌ ɛ t s
asshole; ˈ ɑː s h əʊ l
assholes; ˈ ɑː s h əʊ l z
assign; ə s ˈ aɪ n
assigned; ə s ˈ aɪ n d
assignment; ə s ˈ aɪ n m ə n t
assignments; ə s ˈ aɪ n m ə n t s
assimilate; ə s ˈ ɪ m ɪ l ˌ eɪ t
assist; ə s ˈ ɪ s t
assistance; ə s ˈ ɪ s t ə n s
assistant; ə s ˈ ɪ s t ə n t
assisted; ə s ˈ ɪ s t ɪ d
assists; ə s ˈ ɪ s t s
associate; ə s ˈ əʊ ʃ ɪ ˌ eɪ t
associate; ə s ˈ əʊ s ɪ ˌ eɪ t
associate; ə s ˈ əʊ ʃ ɪə t
associate; ə s ˈ əʊ s ɪə t
associated; ə s ˈ əʊ s ɪ ˌ eɪ t ɪ d
associated; ə s ˈ əʊ ʃ ɪ ˌ eɪ t ɪ d
associates; ə s ˈ əʊ ʃ ɪ ˌ eɪ t s
associates; ə s ˈ əʊ s ɪ ˌ eɪ t s
associates; ə s ˈ əʊ ʃ ɪə t s
associates; ə s ˈ əʊ s ɪə t s
association; ə s ˌ əʊ s ɪ ˈ eɪ ʃ ə n
association; ə s ˌ əʊ ʃ ɪ ˈ eɪ ʃ ə n
associations; ə s ˌ əʊ s ɪ ˈ eɪ ʃ ə n z
associations; ə s ˌ əʊ ʃ ɪ ˈ eɪ ʃ ə n z
assume; ə s j ˈ uː m
assumed; ə s j ˈ uː m d
assumes; ə s j ˈ uː m z
assuming; ə s j ˈ uː m ɪ ŋ
assumption; ə s ˈ ʌ m p ʃ ə n
assumptions; ə s ˈ ʌ m p ʃ ə n z
assurance; ə ʃ ˈ ʊə ɹ ə n s
assure; ə ʃ ˈ ʊə
assure; ə ʃ ˈ ɔː
assured; ə ʃ ˈ ɔː d
assured; ə ʃ ˈ ʊə d
asterisk; ˈ æ s t ə ɹ ɪ s k
asteroid; ˈ æ s t ə ɹ ˌ ɔɪ d
asthma; ˈ æ z m ə
aston; ˈ æ s t ə n
astonishing; ə s t ˈ ɒ n ɪ ʃ ɪ ŋ
astrology; ə s t ɹ ˈ ɒ l ə d͡ʒ i
astronomy; ə s t ɹ ˈ ɒ n ə m i
asylum; ə s ˈ aɪ l ə m
asymmetric; ˌ æ s ɪ m ˈ ɛ t ɹ ɪ k
asymmetric; ˌ eɪ s ɪ m ˈ ɛ t ɹ ɪ k
asymptote; ˈ æ s ɪ m t ˌ əʊ t
asymptotic; ˌ æ s ɪ m t ˈ ɒ t ɪ k
at; ə t
at; ˈ æ t
ate; ˈ eɪ t
athens; ˈ æ θ ə n z
athlete; ˈ æ θ l ˌ iː t
athletes; ˈ æ θ l ˌ iː t s
athletic; æ θ l ˈ ɛ t ɪ k
athletics; æ θ l ˈ ɛ t ɪ k s
atlanta; æ t l ˈ æ n t ə
atlanta; ə t l ˈ æ n t ə
atlantic; ə t l ˈ æ n t ɪ k
atlas; ˈ æ t l ə s
atlases; ˈ æ t l ə s ə s
atmosphere; ˈ æ t m ə s f ˌ ɪə
atmospheric; ˌ æ t m ə s f ˈ ɛ ɹ ɪ k
atom; ˈ æ t ə m
atomic; ə t ˈ ɒ m ɪ k
atoms; ˈ æ t ə m z
atop; ə t ˈ ɒ p
attach; ə t ˈ æ t͡ʃ
attached; ə t ˈ æ t͡ʃ t
attachment; ə t ˈ æ t͡ʃ m ə n t
attachments; ə t ˈ æ t͡ʃ m ə n t s
attack; ə t ˈ æ k
attacked; ə t ˈ æ k t
attacking; ə t ˈ æ k ɪ ŋ
attacks; ə t ˈ æ k s
attain; ə t ˈ eɪ n
attainment; ə t ˈ eɪ n m ə n t
attempt; ə t ˈ ɛ m p t
attempted; ə t ˈ ɛ m p t ɪ d
attempting; ə t ˈ ɛ m p t ɪ ŋ
attempts; ə t ˈ ɛ m p t s
attend; ə t ˈ ɛ n d
attendance; ə t ˈ ɛ n d ə n s
attended; ə t ˈ ɛ n d ɪ d
attending; ə t ˈ ɛ n d ɪ ŋ
attention; ə t ˈ ɛ n ʃ ə n
attic; ˈ æ t ɪ k
attitude; ˈ æ t ɪ t j ˌ uː d
attitudes; ˈ æ t ɪ t j ˌ uː d z
attorney; ə t ˈ ɜː n i
attorneys; ə t ˈ ɜː n i z
attract; ə t ɹ ˈ æ k t
attracted; ə t ɹ ˈ æ k t ɪ d
attraction; ə t ɹ ˈ æ k ʃ ə n
attractions; ə t ɹ ˈ æ k ʃ ə n z
attractive; ə t ɹ ˈ æ k t ɪ v
attribute; ˈ æ t ɹ ɪ b j ˌ uː t
attribute; ə t ɹ ˈ ɪ b j ˌ uː t
attributed; ə t ɹ ˈ ɪ b j ʊ t ɪ d
attributes; ˈ æ t ɹ ɪ b j ˌ uː t s
attributes; ə t ɹ ˈ ɪ b j ˌ uː t s
aubergine; ˈ əʊ b ə d͡ʒ ˌ iː n
auburn; ˈ ɔː b ə n
auckland; ˈ ɔː k l ə n d
auction; ˈ ɔː k ʃ ə n
auctions; ˈ ɔː k ʃ ə n z
audi; ˈ aʊ d i
audience; ˈ ɔː d ɪə n s
audiences; ˈ ɔː d ɪə n s ɪ z
audio; ˈ ɔː d ɪ ˌ əʊ
audit; ˈ ɔː d ɪ t
audition; ɔː d ˈ ɪ ʃ ə n
auditor; ˈ ɔː d ɪ t ə
auditorium; ˈ ɔː d ɪ t ˈ ɔː ɹ ɪə m
auditors; ˈ ɔː d ɪ t ə z
audrey; ˈ ɔː d ɹ i
august; ˈ ɔː g ə s t
aunt; ˈ ɑː n t
auntie; ˈ ɑː n t i
aunty; ˈ ɑː n t i
aura; ˈ ɔː ɹ ə
aurora; ɔː ɹ ˈ ɔː ɹ ə
austere; ɒ s t ˈ ɪə
austin; ˈ ɒ s t ɪ n
austin; ˈ ɔː s t ɪ n
australia; ɒ s t ɹ ˈ eɪ l ɪə
australian; ɒ s t ɹ ˈ eɪ l ɪə n
austria; ˈ ɒ s t ɹ ɪə
authentic; ɔː θ ˈ ɛ n t ɪ k
authentication; ɔː θ ˌ ɛ n t ɪ k ˈ eɪ ʃ ə n
author; ˈ ɔː θ ə
authorities; ɔː θ ˈ ɒ ɹ ɪ t i z
authority; ɔː θ ˈ ɒ ɹ ɪ t i
authorization; ˌ ɔː θ ə ɹ aɪ z ˈ eɪ ʃ ə n
authorized; ˈ ɔː θ ə ɹ ˌ aɪ z d
authors; ˈ ɔː θ ə z
autism; ˈ ɔː t ɪ z ə m
auto; ˈ ɔː t əʊ
automated; ˈ ɔː t ə m ˌ eɪ t ɪ d
automatic; ˌ ɔː t ə m ˈ æ t ɪ k
automatically; ˌ ɔː t ə m ˈ æ t ɪ k l i
automation; ɔː t ə m ˈ eɪ ʃ ə n
automobile; ˌ ɔː t ə m ə b ˈ iː l
automobiles; ˈ ɔː t ə m əʊ b ˌ iː l z
automotive; ˌ ɔː t ə m ˈ əʊ t ɪ v
autonomous; ɔː t ˈ ɒ n ə m ə s
autonomy; ɔː t ˈ ɒ n ə m i
autos; ˈ ɔː t əʊ z
autumn; ˈ ɔː t ə m
auxiliary; ɔː g z ˈ ɪ l j ə ɹ i
auxiliary; ɔː g z ˈ ɪ l ə ɹ i
avail; ə v ˈ eɪ l
availability; ə v ˌ eɪ l ə b ˈ ɪ l ɪ t i
available; ə v ˈ eɪ l ə b ə l
avatar; ˈ æ v ə t ɑː
avenue; ˈ æ v ɪ n j ˌ uː
average; ˈ æ v ɹ ɪ d͡ʒ
average; ˈ æ v ə ɹ ɪ d͡ʒ
averham; ˈ ɛə ɹ ə m
avert; ə v ˈ ɜː t
aviation; ˌ eɪ v ɪ ˈ eɪ ʃ ə n
avid; ˈ æ v ɪ d
avocado; ˌ æ v ə k ˈ ɑː d əʊ
avocados; ˌ æ v ə k ˈ ɑː d əʊ z
avoid; ə v ˈ ɔɪ d
avoided; ə v ˈ ɔɪ d ɪ d
avoiding; ə v ˈ ɔɪ d ɪ ŋ
avon; ˈ eɪ v ə n
aw; ˈ ɔː
await; ə w ˈ eɪ t
awaiting; ə w ˈ eɪ t ɪ ŋ
awaits; ə w ˈ eɪ t s
awake; ə w ˈ eɪ k
awaken; ə w ˈ eɪ k ə n
awakened; ə w ˈ eɪ k ə n d
award; ə w ˈ ɔː d
awarded; ə w ˈ ɔː d ɪ d
awards; ə w ˈ ɔː d z
aware; ə w ˈ ɛə
awareness; ə w ˈ ɛə n ɪ s
awash; ə w ˈ ɒ ʃ
away; ə w ˈ eɪ
awe; ˈ ɔː
awed; ˈ ɔː d
awesome; ˈ ɔː s ə m
awful; ˈ ɔː f ə l
awfully; ˈ ɔː f l i
awfully; ˈ ɔː f ə l i
awkward; ˈ ɔː k w ə d
awning; ˈ ɔː n ɪ ŋ
awoke; ə w ˈ əʊ k
awoken; ə w ˈ əʊ k ə n
awry; ə ɹ ˈ aɪ
ax; ˈ æ k s
axe; ˈ æ k s
axes; ˈ æ k s iː z
axiom; ˈ æ k s ɪə m
axis; ˈ æ k s ɪ s
axle; ˈ æ k s ə l
aye; ˈ aɪ
ayrshire; ˈ ɛə ʃ ə
ayscoughfee; ˈ æ s k ə f i
azerbaijan; ˌ æ z ə b aɪ d͡ʒ ˈ ɑː n
babe; b ˈ eɪ b
babes; b ˈ eɪ b z
babies; b ˈ eɪ b i z
baby; b ˈ eɪ b i
babysitting; b ˈ eɪ b ɪ s ˌ ɪ t ɪ ŋ
bachelor; b ˈ æ t͡ʃ ə l ə
bachelor; b ˈ æ t͡ʃ l ə
back; b ˈ æ k
backed; b ˈ æ k t
background; b ˈ æ k g ɹ ˌ aʊ n d
backgrounds; b ˈ æ k g ɹ ˌ aʊ n d z
backing; b ˈ æ k ɪ ŋ
backs; b ˈ æ k s
backside; b ˈ æ k s ˌ aɪ d
backslid; b ˈ æ k s l ˌ ɪ d
backslidden; b ˈ æ k s l ˌ ɪ d ə n
backslide; b ˈ æ k s l ˌ aɪ d
backup; b ˈ æ k ˌ ʌ p
backward; b ˈ æ k w ə d
backwards; b ˈ æ k w ə d z
bacon; b ˈ eɪ k ə n
bacteria; b æ k t ˈ ɪə ɹ ɪə
bacterial; b æ k t ˈ ɪə ɹ ɪə l
bacterium; b æ k t ˈ ɪə ɹ ɪə m
bad; b ˈ æ d
bade; b ˈ eɪ d
badge; b ˈ æ d͡ʒ
badly; b ˈ æ d l i
badminton; b ˈ æ d m ɪ n t ə n
baffling; b ˈ æ f l ɪ ŋ
bag; b ˈ æ g
bagel; b ˈ eɪ g ə l
baggy; b ˈ æ g i
baghdad; b ˈ æ g d æ d
bags; b ˈ æ g z
bahamas; b ə h ˈ ɑː m ə z
bahrain; b ɑː ɹ ˈ eɪ n
bail; b ˈ eɪ l
bailey; b ˈ eɪ l i
bait; b ˈ eɪ t
bake; b ˈ eɪ k
baked; b ˈ eɪ k t
baker; b ˈ eɪ k ə
baking; b ˈ eɪ k ɪ ŋ
balance; b ˈ æ l ə n s
balanced; b ˈ æ l ə n s t
balcony; b ˈ æ l k ə n i
bald; b ˈ ɔː l d
bale; b ˈ eɪ l
bali; b ˈ ɑː l i
balk; b ˈ ɔː k
ball; b ˈ ɔː l
ballet; b ˈ æ l eɪ
balloon; b ə l ˈ uː n
balloons; b ə l ˈ uː n z
ballot; b ˈ æ l ə t
balls; b ˈ ɔː l z
balm; b ˈ ɑː m
baltic; b ˈ ɔː l t ɪ k
baltimore; b ˈ ɔː l t ɪ m ˌ ɔː
ban; b ˈ æ n
banal; b ə n ˈ ɑː l
banana; b ə n ˈ ɑː n ə
bananas; b ə n ˈ ɑː n ə z
banbury; b ˈ æ n b ə ɹ i
bancorp; b ˈ æ ŋ k ˌ ɔː p
band; b ˈ æ n d
bands; b ˈ æ n d z
bandwidth; b ˈ æ n d w ɪ d θ
bane; b ˈ eɪ n
bang; b ˈ æ ŋ
banging; b ˈ æ ŋ ɪ ŋ
bangkok; b ˈ æ ŋ k ɒ k
bangkok; b æ ŋ k ˈ ɒ k
bangladesh; b ˈ æ ŋ l ə d ˌ ɛ ʃ
banjo; b ˈ æ n d͡ʒ əʊ
bank; b ˈ æ ŋ k
banker; b ˈ æ ŋ k ə
bankers; b ˈ æ ŋ k ə z
banking; b ˈ æ ŋ k ɪ ŋ
bankruptcy; b ˈ æ ŋ k ɹ ʌ p t s i
bankruptcy; b ˈ æ ŋ k ɹ ə p t s i
banks; b ˈ æ ŋ k s
banned; b ˈ æ n d
banner; b ˈ æ n ə
banners; b ˈ æ n ə z
banquet; b ˈ æ ŋ k w ɪ t
bap; b ˈ æ p
baptism; b ˈ æ p t ˌ ɪ z ə m
baptist; b ˈ æ p t ɪ s t
bar; b ˈ ɑː
barb; b ˈ ɑː b
barbados; b ɑː b ˈ eɪ d əʊ s
barbara; b ˈ ɑː b ɹ ə
barbara; b ˈ ɑː b ə ɹ ə
barbecue; b ˈ ɑː b ɪ k j ˌ uː
barber; b ˈ ɑː b ə
barbie; b ˈ ɑː b i
barcelona; b ˌ ɑː s ɪ l ˈ əʊ n ə
bard; b ˈ ɑː d
bare; b ˈ ɛə
barely; b ˈ ɛə l i
barf; b ˈ ɑː f
bargain; b ˈ ɑː g ɪ n
bargaining; b ˈ ɑː g ɪ n ɪ ŋ
bargains; b ˈ ɑː g ɪ n z
barge; b ˈ ɑː d͡ʒ
barham; b ˈ ɛə ɹ ə m
bark; b ˈ ɑː k
barking; b ˈ ɑː k ɪ ŋ
barks; b ˈ ɑː k s
barmy; b ˈ ɑː m i
barn; b ˈ ɑː n
barnacle; b ˈ ɑː n ə k ə l
barnes; b ˈ ɑː n z
barnet; b ˈ ɑː n ɪ t
baron; b ˈ æ ɹ ə n
